Year,Canada,Mexico,US,Total North America,Argentina,Brazil,Chile,Colombia,Ecuador,Peru,Trinidad & Tobago,Venezuela,Central America,Other Caribbean,Other South America,Total S. & Cent. America,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Other Europe,Total Europe,Azerbaijan,Belarus,Kazakhstan,Russian Federation,Turkmenistan,USSR,Uzbekistan,Other CIS,Total CIS,Iran,Iraq,Israel,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Other Middle East,Total Middle East,Algeria,Egypt,Morocco,South Africa,Eastern Africa,Middle Africa,Western Africa,Other Northern Africa,Other Southern Africa,Total Africa,Australia,Bangladesh,China,China Hong Kong SAR,India,Indonesia,Japan,Malaysia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Other Asia Pacific,Total Asia Pacific,Total World,OECD,Non-OECD,European Union
1965,1389.0362000985172,293.325216093024,14439.701169890406,16122.06258608195,328.5276280545963,273.8696275393682,72.43283256086463,97.67337402844088,8.656928100443343,55.006667822242726,33.62565412729601,191.48477901136818,43.87864651674903,219.3275281791446,41.13596893223733,1365.619634872751,189.49828486309553,412.94120870064967,119.92565217351077,55.311398593206995,4.680250394864567,468.7781616324983,166.20827606330357,50.00147663373291,115.4036084109074,1309.655994647832,2969.2933204138158,79.14618600560819,184.97541469317926,7.583029813183841,67.66311800842027,928.4622642759673,34.510378751687696,68.11969520162306,41.8040569911087,413.9601002802258,17.462687733987615,215.42297952024305,776.0532460067582,49.82929199233167,278.7209092991364,106.8362191592788,45.165479959525875,337.40661894330407,392.95369399730424,182.46831000953475,91.43334501745368,1126.0400144244827,2316.2247087889896,185.07315186927818,12412.401401971787,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,6916.875169132993,350.5010998251423,152.93036269494883,6916.875169132993,97.29041323824005,23.004889895295157,41.013381724353614,79.22155954144027,0.09738055245675901,1.4110830620183303,235.13955492321034,0.8545331595945125,60.752195210066255,538.7849913066752,24.832647840066645,91.67501169743609,17.760959882198247,354.2285284940229,109.18987704450136,38.013660095645506,57.526848949742174,21.933323397726628,1.1597693660721893,716.3206267674119,425.7600345522186,146.51415322172605,1536.1942213920033,26.302012152700073,619.4514443332035,84.51602453728972,1823.563808417406,33.086408275194124,85.21792365943264,82.22445589479086,54.78573981004594,47.888006385927355,74.81706867140029,10.453816198865818,70.35767329177872,30.70652768159736,29.454964332297656,201.02621906868157,5235.8063486548335,43307.87075878841,30572.756721772774,12735.114037015614,9416.578489971967
1966,1478.7911134393237,310.58314125225513,15247.363623819034,17036.737878510612,339.17476466194586,298.7801407397803,77.67518510450576,109.92723594081173,9.11249172040586,67.14465256195739,35.77738369661991,193.30673246678845,45.49765371412067,227.17428328989092,44.40127302787254,1447.9717969246992,198.32507188847737,397.85897805355546,128.56542595337652,55.311398593206995,5.338632337410264,472.28451916937416,189.059411350865,50.00147663373291,131.36514464142445,1341.316798457199,2977.0012355285708,86.65006677090973,187.46285169797665,7.952001634346432,75.80643554534254,1008.3043577939329,34.510378751687696,68.11969520162306,40.05721735980671,443.3774362377458,17.462687733987615,220.3936851105866,791.1781911787031,54.556570103054284,297.2698742437329,110.58359361542536,45.165479959525875,381.80266295010625,419.03526310942124,196.10418474101968,104.91621903542335,1126.0400144244827,2327.4999369899624,194.83634521575001,12788.9021107135,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,7356.216791410123,350.5010998251423,152.93036269494883,7356.216791410123,106.03683833392425,25.37193185694858,42.64997839218499,82.88144342738676,0.12186111029092747,1.420697769987553,238.32159759973717,0.912041164883864,62.55001530128865,560.266404956633,29.83252630212479,96.46274760424492,23.385163792297785,356.4289565572269,119.29032495071134,39.087937225599575,60.89611874692111,23.25729601468372,1.492153043740478,750.1332242375508,446.10153166794476,146.51415322172605,1669.3079494808499,28.52582162715024,638.4138337485326,83.89608727078688,2013.865510447519,38.2724964735175,90.5492166574948,82.8407172789894,59.18997852917577,54.74372322005142,90.76833978680759,10.781163022075818,75.37606964708594,36.59365197633638,51.48185160735742,212.42582979010507,5683.133772231781,45623.361978984896,32077.642345432138,13545.719633552748,9739.819185044395
1967,1546.2915485743065,316.5494468348997,15778.539545178955,17641.380540588165,349.0322557266233,309.57909463093495,79.1882797814226,115.86104225387476,9.859640217204369,68.3681302918622,38.13783459446801,203.81585183527494,47.68706919828311,236.40661014230042,45.792254555690704,1503.7280632279396,200.36348992061056,417.65487524587564,149.34063376684483,55.311398593206995,5.787254564402962,464.9401508492159,190.12347271312376,50.00147663373291,138.25218821236194,1427.1750462156808,2969.431321783878,95.39773401857484,178.89243228670153,7.879483190944182,82.16954522998789,1091.9742578180544,34.510378751687696,68.11969520162306,39.45144031636288,468.80004370405584,17.462687733987615,236.682058653251,814.2998650683344,58.333893229953006,331.7335071625208,111.16375848653531,45.165479959525875,411.5422102949774,429.21722084620444,209.44366192155064,108.5436097363261,1126.0400144244827,2328.214135154657,197.7255140258694,13164.532804416856,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,7730.988026831548,350.5010998251423,152.93036269494883,7730.988026831548,116.65132639321901,25.62056313853283,51.74320752015663,84.35842746658832,0.540983330698798,2.0353772661634846,241.76489027835402,5.406755987494472,64.11107025750152,592.2326016387091,28.24740700174356,82.58480971604658,24.63974870129969,371.15484773821794,123.84650786289068,38.77969219915412,62.50148861799635,24.558686274150602,1.6213126671725808,757.934500778672,473.0930451958433,146.51415322172605,1501.0684316436088,33.692803451664204,658.4334983240852,82.8972553049414,2305.0355486159438,41.10207802759146,91.34093346710767,91.71956446419374,66.48134959030007,65.75601907525848,104.28453051197194,11.046679856463886,82.26766433193693,41.67839530049638,70.94084199666923,229.61387677066568,5950.452515928741,47341.249053410625,33348.81981922958,13992.429234181036,10078.874795445252
1968,1645.5902037402357,344.76463423761237,16719.385477322685,18709.740315300536,360.844442565635,353.4860291790285,78.85890232396369,120.28531567406519,11.642034866644158,69.6311259431447,39.31428872507195,219.93290936055536,49.5500372732063,241.51304081648175,46.85706885004361,1591.9151955778404,214.24156889061513,465.4170010927288,166.93760504732842,55.311398593206995,6.427251681777238,484.8921940815789,198.6668609169434,50.00147663373291,150.03085877319978,1506.557851019467,3170.412757224663,99.1383151114323,185.6058824612444,8.334446459512552,95.83227154371808,1179.98425239283,34.510378751687696,68.11969520162306,42.66882857113268,524.3931130222069,17.462687733987615,265.1665732781787,876.3667437162322,59.39734131790837,352.97975815158946,122.68506837655835,45.165479959525875,433.0193294905766,458.3504500508286,219.9869786086041,126.42662336056098,1126.0400144244827,2411.424421733931,217.6737838668836,14043.01813024223,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,8020.226783506305,350.5010998251423,152.93036269494883,8020.226783506305,128.25040577497973,27.21859836831625,52.673419468588826,88.77664955715736,0.6519083451478276,6.439564249097197,245.51805134179773,6.944713086561577,68.85048383942959,625.3237940310762,30.344987061829315,89.11758076377335,26.452305008661842,391.7079335678354,128.23976096697072,40.30609334568594,65.37185302609741,27.272231737826296,1.7834822353394661,800.5962277140196,501.69375724107977,146.51415322172605,1516.6958656123556,36.42808901469266,703.9852444195117,88.4252967338892,2569.7023747652042,42.50272678440134,93.47527052239806,104.13103963651182,75.07526283646772,81.73453493736828,119.51965039181977,11.483015351591957,94.50769962281571,53.471695128193474,73.56608410028024,246.17251870494385,6412.570125803525,50203.39057217554,35552.25930635141,14651.131265824131,10797.149418588873
1969,1745.3478602523799,378.4273298164556,17583.423302533025,19707.198492601863,372.9106801806346,385.8119963594793,84.99640558483216,121.78253775726674,12.369395151555398,70.14039091245337,40.542287075052265,222.3732256267367,52.02390881483899,247.61568953367893,50.183183885156915,1660.7497008816852,221.9264996464624,510.77484246613704,186.06770363245843,55.311398593206995,7.589793721292839,505.53300106077984,228.04659647926823,50.00147663373291,164.9204778950563,1660.2914249594032,3419.7781128231913,104.7218682136786,198.7624429106571,8.32216446055734,96.14959720659469,1270.0332667014056,34.510378751687696,68.11969520162306,45.91992752175992,584.7867652535358,17.462687733987615,265.5665007865667,936.0660794434123,64.35529535587358,405.81185260264755,128.11635491920427,45.165479959525875,490.2082882568305,458.32811812371716,227.56838232322468,138.02686305672918,1126.0400144244827,2498.7303321125364,232.61217872163903,15059.01473065462,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,8374.41753368832,350.5010998251423,152.93036269494883,8374.41753368832,140.75527873208233,31.46736676397502,59.53182808891507,90.93682033872606,0.9285110873462677,10.118640069729473,249.66277271619458,6.9689251763749755,71.85208125404414,662.2222242273881,33.539191581976006,73.37516955445366,29.00901341176505,403.3147579167686,137.77777510340127,42.23157067245909,72.44465425661437,29.046391329022104,1.9299242955116462,822.6684481219717,522.428267725355,146.51415322172605,1845.1861474209156,42.799942136828925,780.436013874497,99.78609454527576,2927.122374202759,46.63459898557757,95.07714924406244,104.63178702923038,80.41723293053184,80.31851424457295,144.3315477067177,11.926895465087275,98.92258928712796,56.474397488352565,86.89018333407626,260.66792100473214,7284.051656625702,53570.32278680155,37896.985251130885,15673.33753567068,11691.888344749352
1970,1868.5633542173707,404.03186979912357,18205.83953087865,20478.43475489514,353.48652748979305,453.36392256427524,89.7438801436966,133.4329276138516,14.773025259704506,72.33975537231976,44.680582431740355,224.4753870724241,54.56768263177479,283.6109209191771,52.45492321519808,1776.9295347139555,254.14923778967926,539.5910457104076,209.35847137646388,55.311398593206995,8.004829351567626,526.8715071611238,242.98942628029366,50.00147663373291,181.70852773385943,1803.2169603499015,3611.016510376557,116.36267612749607,214.13968248586283,10.103884396799748,75.80377325626144,1402.123881426102,34.510378751687696,68.11969520162306,47.68123355074201,659.7977525201289,17.462687733987615,277.90165832104907,987.9211911884342,76.88242725497476,432.0108288084572,141.73350676608314,45.165479959525875,528.7605411664359,486.52864783596084,249.06568639759405,146.68284198424098,1126.0400144244827,2551.0430355703775,256.4504882234092,16037.900253410264,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,8809.916546830524,350.5010998251423,152.93036269494883,8809.916546830524,166.04120656927145,39.15728813164422,63.549277720017685,73.40752828445254,0.9359055946223345,11.525687378849021,262.85545130421553,9.605591246407334,79.54060026240313,706.6185364918832,36.75889897329453,91.43162749877045,30.375089016671822,421.47789743125736,154.9580526688908,44.31910200183695,78.64936101008547,32.84229900749522,2.2230344394389006,893.0353620477415,570.1016154049768,146.51415322172605,2361.698476294764,45.98167654978693,763.7407975930469,106.95583887603614,3271.3789680240398,44.26302959459268,105.80864697756147,102.95153612008684,91.50548663900805,87.2053756902055,167.46579880998803,19.76357995717794,107.6781567709352,67.27354822999885,90.64347064201135,277.6281379905426,8282.044140164762,56984.87912855428,40020.11151498942,16964.76761356485,12550.573509880885
1971,1927.1454481228175,424.82913902235504,18589.00875495875,20940.983342103926,374.7416941535002,505.22706568208457,97.10932530061268,132.01281533449318,16.231355221933924,75.81763923218774,45.160159520749545,228.21188359985268,56.65006013307123,293.81342882527156,55.5248295318161,1880.5002565355735,253.0841420455165,529.3343660754322,217.99700252544588,55.311398593206995,9.54851412299089,553.7011442320617,229.63516176676524,50.00147663373291,186.58138339971677,1874.7921950964512,3643.5569301962805,138.63270644073816,221.09700541180325,10.997423711827977,78.73353818295352,1476.255725026112,34.510378751687696,68.11969520162306,45.844536683688965,695.7717543664187,17.462687733987615,292.3636275656584,1019.143561432166,84.65107601310072,458.5655027258638,151.92009876822985,45.165479959525875,582.2006842970715,495.3215148525535,254.863528407513,162.38357180302944,1126.0400144244827,2503.8496784280387,299.60936034092543,16470.43573391835,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,9242.353126081773,350.5010998251423,152.93036269494883,9242.353126081773,181.880598526803,42.85903412838433,72.11492412571583,73.15679244890772,15.4715032623142,11.48124731691518,263.2719014939587,14.63803062278959,85.30063818271243,760.1746701085009,39.73284632850385,93.99038118974418,32.27996807077019,454.02640045805873,155.97333136693283,50.355667845699365,95.270572484071,29.199864692146196,2.3387813442189875,953.1678137801453,598.8076303788516,13.406879550674098,2800.124183579963,48.559657266117064,794.3862989015515,101.902032695592,3483.68311028797,49.442222211071524,110.80132048823181,96.2361980839704,104.67479352747159,75.69787697145128,181.19018514616897,20.131090454790613,135.2211405047365,74.51701839566923,80.82476483332148,303.99441631452083,9073.600819592124,59321.215762120395,41109.97333337159,18211.242428748814,12950.332272599728
1972,2074.271902504903,469.5794453883219,19514.081254813907,22057.93260270713,379.4479352843232,576.9827085876402,98.94507468032748,152.19335211991876,16.959221955552323,67.94630205587636,62.24413664613431,241.2417699978557,60.19177779914997,313.5430034667637,57.21344780265658,2026.9087303961985,261.82576814085166,562.7328718548118,224.31827018204262,55.311398593206995,10.737023505700233,556.8454194135714,242.34226780966472,50.00147663373291,196.71066097165823,2004.0906271729768,3770.2226318771227,155.51647813192747,228.2779987266798,11.960911857677642,83.1267734551266,1548.1821527706347,34.510378751687696,68.11969520162306,47.2747088594375,808.1381909395764,17.462687733987615,310.0533787544034,1074.918759307555,92.02711176691803,483.2758450702212,159.7660700626259,45.165479959525875,629.5624815941384,510.2206046842923,251.06144267861757,181.42590392649274,1126.0400144244827,2540.6985037907984,312.5778074223338,17257.890664727856,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,9716.784083989933,350.5010998251423,152.93036269494883,9716.784083989933,206.21753568159383,50.20316764156617,68.31464912200904,80.95828372379363,17.677216621593388,12.700935968588905,282.1690665345775,15.65015019923282,84.64371143574557,818.534716928701,44.64784918273085,104.29001340160183,34.89000969944905,469.0293144492962,161.45258412399926,52.157982627473274,102.28333425275336,36.516051594775,2.495708213000634,1007.7628475450794,626.0950250843393,15.190602498946562,3018.83669782643,55.154087592529976,835.8585725710383,108.06704136693322,3649.3822816481193,55.07214902838186,118.23856895959186,89.52728053441152,103.64540625081763,94.78758306955605,187.85288319641472,21.116488471679315,144.4704350436877,90.42680613964001,78.33445235734911,320.85986700167393,9612.91622864154,62498.72987493645,43194.96707595823,19303.762798978223,13653.989996252025
1973,2252.543468532153,506.4697458993735,20339.795413986692,23098.808628418217,396.45776467956597,679.6220950533456,95.74190967534217,147.1964854733639,18.151959506714228,76.9907785658174,61.7367666182756,276.01712432188543,65.82827044857108,347.15581663432073,59.71469636162912,2224.6136673388314,281.5101332395047,570.3259610380171,233.0735958306556,55.311398593206995,11.519169940979555,560.1646206915956,234.46956726242055,50.00147663373291,216.77853713008895,2175.9456721564243,3987.3542383695867,178.93362571312045,247.1940518249603,14.462597252221524,87.3694458153182,1615.8225514288497,34.510378751687696,68.11969520162306,50.11580181463705,859.6817536508759,17.462687733987615,328.54493038931804,1095.0639397060997,101.72354973119867,525.8237797644274,166.21616235128892,45.165479959525875,689.2378103540186,539.8415619388259,277.6510040316726,205.6027784860827,1126.0400144244827,2667.083239253376,327.4850932517399,18248.995172417304,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,10210.021017115861,350.5010998251423,152.93036269494883,10210.021017115861,246.4709442310905,49.36145710990921,72.82119982925732,80.66415061743413,15.375914382096678,18.02101594955165,301.0003692971088,20.29311129365204,98.2744142632882,902.2825769733887,53.25067788822478,98.57274147933643,38.756199798003685,504.6048035195126,170.78840771151678,58.36069635274793,116.03653890009197,48.308374524830946,2.819305331002179,1091.4977455052674,669.355933960715,19.480253639522417,3186.892999527205,57.20207719589003,853.323726184809,121.87374445764009,4048.936086589244,58.02701930747785,122.97619373628145,95.65610803847765,120.95409956149034,89.32662486197414,232.3373182533786,21.854216769910586,168.83440624950174,95.88780915499459,82.67702212885351,330.53308893264636,10376.128728550013,66152.34753631889,45649.06488134063,20503.28265497825,14432.194432128152
1974,2323.399260986749,557.6808726992635,19842.607236612344,22723.687370298354,412.27787840802637,757.3937217753106,95.92725287655297,164.6603353229564,21.18778012070213,88.64403610468845,59.46471985135678,285.5238171738938,70.1220638783628,345.21897341030734,58.50356648169553,2358.9241454038533,282.96216056011394,550.7825994987338,240.0305641989424,55.311398593206995,10.213084186692985,566.1714745283009,213.3138980497137,50.00147663373291,207.9393227311127,2137.0000099869158,3918.0274803056195,174.9380065877771,254.7614376512578,14.10785176472986,88.90049189255103,1615.333365819079,34.510378751687696,68.11969520162306,50.893928326563646,815.9573397662473,17.462687733987615,331.5515397770593,1131.2563497841327,106.48222440771737,529.4952891418022,174.93801572650204,45.165479959525875,717.3674398231469,499.54839282253045,265.42793174583846,209.67642478747922,1126.0400144244827,2533.1791979619666,363.3275465462618,18003.583368378786,113.69588978646051,208.94639782502503,436.8606380295076,5414.658237389033,143.27546123507292,10774.62096695426,350.5010998251423,152.93036269494883,10774.62096695426,279.46756892938527,48.34394455300786,73.12985083960788,77.40107302338129,14.127883138364629,15.712179584032151,319.3537855735783,22.295511412998543,110.48200806456813,960.313805118924,58.908933630503604,112.03732049628464,41.43064621735656,519.0945833392927,178.13159965345034,59.84473721961412,120.78314628794315,52.27437769425043,3.423683434148728,1145.9290279728443,711.9010769114992,20.746551414368017,3286.7617385027047,58.557524081828966,903.9876549872392,130.60435002653037,4068.269484115656,58.828337272851975,124.64282717777672,103.62483181847935,112.68782086223665,88.05851729055757,241.56968716486566,18.76231789490661,161.68346331229935,99.76504657342792,61.49017223609912,353.54710550463295,10605.488507147958,66572.54719127499,45074.23737343956,21498.30981783542,14290.354330846916
