Year,Canada,Mexico,US,Total North America,Argentina,Brazil,Chile,Colombia,Ecuador,Peru,Trinidad & Tobago,Venezuela,Central America,Other Caribbean,Other South America,Total S. & Cent. America,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Other Europe,Total Europe,Azerbaijan,Belarus,Kazakhstan,Russian Federation,Turkmenistan,Uzbekistan,Other CIS,Total CIS,Iran,Iraq,Israel,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Other Middle East,Total Middle East,Algeria,Egypt,Morocco,South Africa,Eastern Africa,Middle Africa,Western Africa,Other Northern Africa,Other Southern Africa,Total Africa,Australia,Bangladesh,China,China Hong Kong SAR,India,Indonesia,Japan,Malaysia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Other Asia Pacific,Total Asia Pacific,Total World,OECD,Non-OECD,European Union
1985,459.0164002,96.20753203374971,2657.1500711257113,3212.3740033594613,45.303728,193.68223389625032,14.040000000000001,29.374664236296862,4.558,12.111,3.023,47.29,11.1554377,36.351585996329774,11.8238500652,408.71349989407696,43.742000000000004,57.322,41.632,10.50947093089004,1.319,58.121,29.143044444444445,17.827,49.394,344.4654209,522.534,27.740000000000002,26.794,3.8374099999999998,12.088000000000001,185.74,4.961,20.962,0.9390450000000001,62.975,5.39965997368421,103.292,137.714,18.900000000000002,71.818,22.506,12.805984558661622,126.5619468,137.14000000000001,56.33812333864965,34.218900000000005,272.0,298.089,93.76181234210527,2883.8757028252,20.702,33.175,81.263,962.0,10.987,47.939,57.652,1213.718,38.915,20.973,15.4314,15.417,2.888,3.964,51.654002630612986,12.185,22.090000000000003,183.51740263061296,12.274000000000001,30.2535,7.345,143.491,24.10058113509193,9.738999999999999,18.22202013033961,11.392736842105263,2.168,258.9858381075368,123.673,4.5280000000000005,410.69,19.249444444444446,186.3858336,16.369,671.953,14.944,28.4649788351637,28.825,22.766000000000002,9.876299999999999,62.667201000000006,2.465,55.556760512000004,23.02995,5.069,38.36584047768241,1724.8783088692908,9886.062755686182,6564.139137914019,3321.9236177721623,2023.1204571444443
1986,468.5840330000001,99.58989530867692,2676.11315475525,3244.2870830639267,49.022193,202.12889948686222,14.82,31.652930080685092,5.0120000000000005,12.948,3.291,50.112,11.5762383,38.50389585269215,20.83437025,439.9015269702395,43.977000000000004,58.676,41.82,10.50947093089004,1.423,60.606,30.783088888888887,17.951,48.948,362.99550150000005,523.557,28.237000000000002,28.044,4.057842,12.652000000000001,192.33,5.184,22.416,1.020386,67.17,5.39965997368421,97.284,140.294,20.355,75.47800000000001,24.168,12.805984558661622,128.5366308,138.651,57.410493354598614,39.6948,272.7,301.071,99.07997670526315,2946.570719248751,21.542,36.282000000000004,85.09400000000001,1001.4,12.396,52.171,56.956,1265.841,42.186,22.287,16.034200000000002,16.935,3.617,4.3180000000000005,55.684684547758216,12.815,23.459000000000003,197.33588454775824,12.981,32.461,7.764,148.241,24.67526938449241,10.05,20.251501981085976,11.405894736842106,2.2800000000000002,270.10966610242053,129.52700000000002,4.8,449.53000000000003,21.418888888888887,202.67720139999994,18.415,676.363,16.131,29.3450734786848,32.348,20.974,10.5765,69.68059699999999,2.6517,62.33384877300001,24.669810000000002,5.527,39.77642102020201,1816.7450405607754,10180.790920493875,6670.728626166783,3510.0622943270882,2076.125607188889
1987,496.3976998,106.1654010730962,2772.20526585762,3374.768366730716,52.11527899999999,203.33147189248922,15.637,33.680269194149396,5.384,14.006,3.481,54.132,12.647057600000002,40.67453335578917,26.975184000000002,462.0637950424278,49.688,63.367000000000004,43.473,10.50947093089004,1.5010000000000001,62.196,29.48931111111111,17.900000000000002,53.016,378.4863311,532.442,30.272000000000002,29.749000000000002,4.152033,13.064,201.372,5.937,22.755,1.036332,68.44800000000001,5.39965997368421,104.283,145.833,20.135,74.07900000000001,23.629,12.805984558661622,132.6654516,146.571,59.733854864433816,44.352900000000005,281.5,302.112,101.3340884368421,3044.572302112387,22.909,37.453,88.49,1047.3,13.267,54.755,57.663000000000004,1321.837,45.062,22.51,17.677,18.092,3.884,4.386,65.00028621595652,13.658,24.274,214.54328621595647,12.722,35.6545,8.001,152.373,24.880256060991204,10.088000000000003,21.43876919921858,12.5,2.6020000000000003,280.2595252602098,135.815,5.587,497.267,23.75361111111111,223.66949020000004,20.72,719.085,17.421,29.752597430683952,36.347,22.642,11.813799999999999,80.251348,2.7072,69.179058901,28.573610000000002,6.051,41.94162556349331,1972.5773412062883,10670.621616567978,6952.484795031093,3718.1368215368934,2148.053425811111
1988,506.0157646,112.23082348115835,2914.4458146794173,3532.692402760576,52.49951999999999,214.95284833692006,16.915,35.473253763155576,5.641,13.552,3.485,58.245000000000005,12.986929799999999,41.52372021188436,29.14025791,484.4145300219602,48.149,65.349,45.021,10.50947093089004,1.647,64.334,28.0695,17.627,53.491,392.0872209,549.492,33.394,29.233,4.415945,13.228,203.561,5.11,26.0,1.333588,69.654,5.39965997368421,110.019,144.34,22.489,75.322,23.039,12.805984558661622,138.75904740000001,146.23,60.53575491759702,48.04880000000001,297.2,308.825,103.93325279999999,3129.937109017598,23.572,38.15,88.417,1065.5,12.891,50.59,65.177,1344.2969999999998,46.97,23.45,19.3525,19.599,4.408,4.614,70.09106991465457,14.84,25.611,228.93556991465454,13.966000000000001,38.7125,8.984,158.141,27.227615658273383,10.238,22.19245164236362,13.330052631578948,2.5040000000000004,295.2956199322159,143.374,6.541,545.21,25.5075,241.3046202,24.807000000000002,753.7280000000001,19.352,31.086195569350398,40.671,24.539,13.0175,93.10884700000001,2.7984,76.26122125899998,32.41324,6.785,44.55116805137209,2125.0556920797226,11140.627923726717,7235.737055310678,3904.8908684160465,2197.9793563000003
1989,498.09258654970483,120.04716093525404,3155.4496791380698,3773.589426623029,50.862812999999996,221.7390205087493,17.811,37.02080622964625,5.769,13.727,3.428,57.620000000000005,13.886020900000002,42.01642065233941,33.3681057346,497.2481870253349,49.155,67.547,44.331,10.50947093089004,1.831,65.131,22.93352222222222,17.611,53.359,404.8500230000001,559.873,34.456,29.596,4.475226,13.833,210.75,5.801,29.158,1.3803150000000002,73.081,5.39965997368421,119.197,145.464,25.808,75.851,24.07,12.805984558661622,147.05451660606062,143.091,54.610771398192455,52.0432,295.3,314.585,104.5295224263158,3190.7560966527917,23.3,38.489000000000004,89.657,1076.5,14.508000000000001,55.874,59.31100000000001,1357.639,51.431000000000004,23.86,20.4533,21.085,4.707,4.646,75.72979095749017,15.612,25.537,243.06109095749017,15.324,40.6145,9.024000000000001,163.359,26.428566974260594,11.942,23.77865747219019,13.591105263157894,2.586,306.6478297096087,151.433,7.115,584.8100000000001,27.363333333333333,272.44643060000004,28.487000000000002,799.769,21.515,31.358,42.806,25.573,14.0389,103.623614,2.8579000000000003,84.05780868000001,37.35338,7.784,46.6207300574327,2289.0120966707677,11657.95372763902,7607.381721079149,4050.57200655987,2247.1223768282825
1990,480.5932424242396,117.59154298884492,3232.779648759239,3830.9644341723233,51.004894,222.82011523002677,18.398,38.24570622244135,6.3488547,13.808,3.577,59.321,14.493572863157896,43.45314542586383,37.1111492137,508.5814376551898,49.296,70.923,42.141,8.8732,1.974,62.559000000000005,25.97718888888889,17.181,54.377455000000005,420.75100000000003,549.9,35.003,28.436,4.447226,14.500609640000002,216.6,6.648000000000001,28.405,1.377,71.892,5.758,121.848,136.311,28.5,64.309,26.132,12.399000000000001,151.92000000000002,146.508,56.01542743221691,57.543,298.835,319.73900000000003,74.52947626315789,3211.608583224264,23.152,39.526,87.379,1082.2,14.61,56.325,60.461000000000006,1363.653,57.655,28.373178,20.8976,18.477,4.501,4.8420000000000005,79.88045573923428,17.081,26.461,258.1682337392343,16.104,41.9525,9.628,167.226,29.951393520063945,10.888100000381469,24.345024397950723,16.06421052631579,2.617,318.77622844471193,155.6535,7.732,621.2,28.96,287.7628267666394,33.11472,881.5,23.016000000000002,32.61435176830056,45.985,26.327,15.617600000000001,118.460795,3.1498000000000004,90.193532567,44.11251,8.681000000000001,45.12667608863634,2469.2073121905764,11960.959229426308,7815.3912941241715,4145.56793530213,2273.9934535288894
1991,506.9948584795292,128.57117140482066,3270.7244021134193,3906.2904319977692,53.85426999999999,234.3762971755566,19.963,40.12350790892981,6.974455799999999,14.482000000000001,3.72,63.337,15.272236705263158,42.28179928267104,39.717519601199996,534.1020864736205,51.27025333652143,71.936,40.862,8.6051,2.077,60.528,36.540499999999994,14.627,57.98552,455.555,540.2220000000001,35.815,29.963,4.425218,15.135723940000002,221.816,5.644,29.363,1.415,74.282,5.7700000000000005,111.009,134.714,29.871000000000002,56.803000000000004,24.747,12.744,155.797,147.38400000000001,58.061845826687936,60.246300000000005,278.683,322.875,72.57677052631578,3229.349231629526,23.4495,38.735,85.99,1068.1633000000002,14.9535,54.165,57.86900000000001,1343.3253000000002,62.814,13.359352999999999,21.5141,10.78,4.625,4.6690000000000005,84.99571265049852,17.222,28.336000000000002,248.31516565049853,17.345,43.276,9.205,168.316,31.357875813349324,10.6145,25.416210919005174,16.57421052631579,2.7430000000000003,324.8477972586703,157.9635,8.27,677.5500000000001,31.88888888888889,320.45763072132127,38.10263,911.303,26.552,33.63915426556432,50.22,25.649,16.5966,131.616144,3.3771,99.17755443800002,50.12039,9.21,44.13063307389898,2635.824225387674,12222.05423839775,7990.249199275472,4231.805039122285,2317.1210972765216
1992,518.6268124406096,132.2756645276993,3284.3899346073094,3935.2924115756186,56.10709699999999,241.76195193832473,22.35,36.613098717322494,7.1960273,13.122,3.976,67.44,17.281169315789477,45.12451292959533,39.7360260016,550.707883202632,50.984824983628776,72.22500000000001,35.61,8.9021,2.43,59.293,30.73337777777778,11.829,57.724593999999996,463.639,538.1657000000001,37.411,31.685000000000002,4.53892,15.99887928,226.254,3.834,18.707,1.198,77.231,6.065,117.506,132.75,30.087,54.195,23.627,12.344,158.718,146.445,59.5179197235513,67.3422,252.524,321.043,59.70994252631578,3190.268458291273,19.7626,37.595,83.166,1008.45,13.1828,50.911,52.571,1265.6383999999998,67.178,21.912236,24.6862,16.885,5.113,5.183,93.47317729536415,18.689,32.842999999999996,285.9626132953641,18.286,44.987,9.719,168.09,28.714313615507592,11.4015,26.62832784421584,17.33221052631579,2.713,327.87135198603926,161.4005,8.894,753.94,35.07555555555555,337.1533206918919,40.28435,916.787,31.38110800644695,33.210973678589156,53.575,25.87,17.5431,146.43928400000001,3.5397,105.529785716,57.028150000000004,9.705,42.849425797777776,2780.2062534462616,12335.947371797189,8052.52388373649,4283.423488060705,2303.5114760414062
1993,530.2321611381105,134.64251942191686,3404.677872924596,4069.5525534846233,61.86877899999998,252.00312157802523,24.013,41.69108606370082,7.4113050000000005,14.808,3.817,69.382,18.22916737368421,45.42168169066575,43.3941831489,582.0393238549763,52.44125062784313,70.834,37.997,9.563799999999999,2.59,58.881,33.96900277777778,9.118,61.078672,472.707,527.118,38.396,32.915,4.721272,16.38194822,222.802,3.924,14.105,1.067,76.992,5.18,120.095,133.867,31.205000000000002,55.476,24.442,11.946,156.798,145.812,61.55561297182351,73.8075,229.906,323.10200000000003,53.8096102631579,3174.6036688606027,19.051000000000002,33.369,77.889,956.587,12.6368,49.149,47.096000000000004,1195.7777999999998,74.686,27.089582,25.9997,20.178,5.833,5.5600000000000005,102.66853564598502,21.73,36.1,319.8448176459851,19.414,46.737,9.91,174.70600000000002,30.262956102485777,10.752999999999998,26.530572371170646,18.05021052631579,2.7100000000000004,339.0737389999722,165.3825,9.206,811.59,35.9475,362.1762511495495,39.70743,926.1030000000001,34.87734916912133,34.61563138758013,57.012,26.579,18.962400000000002,161.900951,3.9787,115.206044446,63.33733,10.662,41.34308562474747,2918.5871727769986,12599.47907562316,8234.251680533349,4365.227395089806,2303.9266736256213
1994,553.0548439663934,146.1275620273452,3458.526080733886,4157.708486727624,65.622035,260.0406103672302,25.276,45.024283810342446,8.1439969,15.866,4.069,71.221,18.771906157894737,48.634194207523045,48.5475581644,611.2165846073908,53.27408208799931,72.179,38.133,8.7729,2.685,58.705,40.19660555555556,9.152000000000001,65.630751,476.868,528.4692,40.624,33.515,4.772761000000001,17.088075299999996,231.81300000000002,4.44,9.998,1.147,79.677,5.939,113.21300000000001,135.347,31.381,55.136,25.712,12.895,161.848,143.038,66.13423976608188,78.32169999999999,202.922,326.558,56.82916689473686,3192.4144816043727,17.571,31.397000000000002,66.777,875.914,10.52,47.800000000000004,45.21,1095.1889999999999,81.004,26.663286,28.3157,22.802,6.198,5.8500000000000005,106.04595385502262,23.736,39.084,339.6989398550227,19.883,48.550000000000004,11.47,181.69,30.694924620193895,10.308000000000002,27.535774917886336,18.821210526315788,2.3810000000000002,351.3339100643961,170.1425,9.784,927.8000000000001,26.74083333333333,387.9669838852853,45.92842,984.493,39.75420469738232,35.19550839067087,57.923,30.459,20.675400000000003,183.365532,4.38672,124.63488332,71.10243,12.288,43.38140126671718,3176.0218168933893,12923.583219752207,8456.430425638275,4467.152794113921,2339.2656139435553
